dynamic_dns_domains, isDynDNS_default
*.19inside.org*, True
*.19insidenet.com*, True
*.1a2a3a4a.com*, True
*.1a2b.ru*, True
*.1affiliateonline.com*, True
*.1akvabur.ru*, True
*.1aroma.com*, True
*.1bar.org*, True
*.1chilcoteroad.co.uk*, True
*.1clickflix.com*, True
*.1clickkidflix.com*, True
*.1cmt.com*, True
*.1corp.net*, True
*.1corporation.us*, True
*.1court.com*, True
*.1court.net*, True
*.1doer.com*, True
*.1dollaradwordsscripts.com*, True
*.1dollarscripts.com*, True
*.1dumb.com*, True
*.1easyone.it*, True
*.1emporium.com*, True
*.1filme.tk*, True
*.1g1c.com.au*, True
*.1game1chance.com.au*, True
*.1gbps.net*, True
*.1gbsite.com*, True
*.1hourtraining.co.uk*, True
*.1idiot.com*, True
*.1iks.ru*, True
*.1industry.com*, True
*.1itpanda.ru*, True
*.1kgporkm.com.br*, True
*.1kserver.com.ar*, True
*.1life1choice.com.au*, True
*.1like.tk*, True
*.1m9s.com*, True
*.1maj.nu*, True
*.1malaysiaiptv.com*, True
*.1malaysiaiptv.com.my*, True
*.1malaysiaiptv.my*, True
*.1malaysiatv.com*, True
*.1malaysiatv.com.my*, True
*.1malaysiatv.my*, True
*.1monetka.ru*, True
*.1moretimearound.com*, True
*.1mototv.ru*, True
*.1mytv.com*, True
*.1mytv.net*, True
*.1mytv.tv*, True
*.1n0.co*, True
*.1n1.se*, True
*.1nas.tk*, True
*.1newid.com*, True
*.1ng.us*, True
*.1nk.us*, True
*.1ns1der.me*, True
*.1o1.tw*, True
*.1on1technology.com*, True
*.1only.us*, True
*.1ove.ga*, True
*.1paper.com.au*, True
*.1pilot.ru*, True
*.1pizzashop.ru*, True
*.1point5million.com*, True
*.1projekts.lv*, True
*.1qituan.com*, True
*.1recruiting.in*, True
*.1remis.com.ar*, True
*.1ro3ls-dfu.cf*, True
*.1ro3ls-kag.tk*, True
*.1rtk.com*, True
*.1sendayan.net*, True
*.1slovo.com*, True
*.1sn0s.com*, True
*.1snesonora.gob.mx*, True
*.1st-focus.co.uk*, True
*.1st-offense-inventory.com*, True
*.1st1.cc*, True
*.1stag.com*, True
*.1stbp.ro*, True
*.1stcc.biz*, True
*.1sthaverfordwestscoutgroup.org.uk*, True
*.1stitsupport.com*, True
*.1stopcompanies.co.za*, True
*.1strealtyresources.com*, True
*.1strochscoutgroup.org.uk*, True
*.1ted.ru*, True
*.1tm.me*, True
*.1to1.tk*, True
*.1trp.com*, True
*.1und1-sicherheitszentrale.de*, True
*.1usd1.com*, True
*.1w1w-id.com*, True
*.1war.ru*, True
*.1waytours.com*, True
*.1weblord.com*, True
*.1world4music.com*, True
*.1x1x.tk*, True
*.1x2.su*, True
*.1xu.info*, True
*.1z.lv*, True
*.2-porn.ru*, True
*.2-tube.tk*, True
*.20-20-20.ro*, True
*.200.com.my*, True
*.200.my*, True
*.200013.net*, True
*.2000db.com*, True
*.2000info.com.br*, True
*.200puls.de*, True
*.20130703.cn*, True
*.2015autocars.info*, True
*.2015carsblog.info*, True
*.2015newcars.info*, True
*.2016carprice.info*, True
*.2016carrelease.info*, True
*.20248.com*, True
*.203mb.com*, True
*.204.tw*, True
*.2045sa.tk*, True
*.208racing.com*, True
*.20aniversario.es*, True
*.20gbfree.com.ar*, True
*.20host.us*, True
*.20pack.com*, True
*.2100610.ru*, True
*.2100bitcoins.com*, True
*.2100coins.com*, True
*.2100vllc.com*, True
*.2100vnewmedia.com*, True
*.2106montrose.com*, True
*.2122edward.us*, True
*.21boy.com*, True
*.21centurymicro.com*, True
*.21questionstoaskaguy.net*, True
*.21sierra.com*, True
*.21stcenturythought.com*, True
*.22.net.au*, True
*.220ua.com*, True
*.2220018.ir*, True
*.2246666.com*, True
*.226vitech.com*, True
*.22755653.ir*, True
*.23480summit.info*, True
*.236yxb.com*, True
*.23ale92.com.ve*, True
*.23eyes.org*, True
*.24-7.ro*, True
*.24-hourrpo.com*, True
*.24-video.ru*, True
*.2400baud.net*, True
*.242itservices.co.uk*, True
*.247mediaklikmukix.com*, True
*.247mediaklikmukix.net*, True
*.247tv.net*, True
*.247yellowtaxi.com*, True
*.248nba.com*, True
*.24atoms.com*, True
*.24autohits.com*, True
*.24averia.com*, True
*.24booo.com*, True
*.24deagosto.tk*, True
*.24dob.com*, True
*.24dx.ru*, True
*.24efun.com*, True
*.24fitbrisbanecity.com*, True
*.24fssp.ru*, True
*.24h.hk*, True
*.24hbay.com*, True
*.24here.cn*, True
*.24houreaves.com*, True
*.24hunter.ru*, True
*.24jam.ml*, True
*.24kare.info*, True
*.24kare.org*, True
*.24perevezu.ru*, True
*.24rls.ru*, True
*.24rx7.eu*, True
*.24serial.ru*, True
*.24snba.com*, True
*.24x7.hk*, True
*.25431010.tw*, True
*.25499cancelloterrace.com*, True
*.2555.co*, True
*.25961457067915867141930461826155.xyz*, True
*.25msa.com.ar*, True
*.25reps.com*, True
*.25u.com*, True
*.25watts.com.pe*, True
*.25watts.pe*, True
*.26-08-1992.tk*, True
*.2600.si*, True
*.26081992.tk*, True
*.26268888.com*, True
*.2628365365.com*, True
*.2635.cf*, True
*.2635.tk*, True
*.2639828dd1.pw*, True
*.263f06813b.pw*, True
*.26772844.com*, True
*.26sites.com*, True
*.273wellington.com*, True
*.278.es*, True
*.27mc.tk*, True
*.27mhzvirtual.ga*, True
*.280412.com*, True
*.2806777.tw*, True
*.2828.ml*, True
*.2831cafe.com*, True
*.28365365ty.com*, True
*.28365365tyzx.com*, True
*.28611111.com*, True
*.28611111.hk*, True
*.288.co.za*, True
*.288408.com*, True
*.28856365.com*, True
*.28888.cf*, True
*.28888.ga*, True
*.28888.gq*, True
*.28888.ml*, True
*.289.la*, True
*.28eastridge.net*, True
*.28gb.ru*, True
*.2992299.net*, True
*.299792458.es*, True
*.2age.net*, True
*.2age.org*, True
*.2age.ru*, True
*.2art.cl*, True
*.2at.cl*, True
*.2av.ro*, True
*.2b1music.com*, True
*.2benice.tk*, True
*.2blokeswithbeer.com*, True
*.2bolta.ru*, True
*.2btrucking.com*, True
*.2c-b.ml*, True
*.2c-me.com*, True
*.2contim.net*, True
*.2cv2021swiss.ch*, True
*.2dadesivos.com.br*, True
*.2daystrends.ro*, True
*.2dba.co.uk*, True
*.2dn.org*, True
*.2donext.com*, True
*.2dons.com*, True
*.2dosquare.com*, True
*.2fast4u.ro*, True
*.2fine.de*, True
*.2fourone.com*, True
*.2funny.ga*, True
*.2gather.ga*, True
*.2gathr.de*, True
*.2gfkitchen.com*, True
*.2group.co.uk*, True
*.2hand.hk*, True
*.2hostedoptions.com*, True
*.2hoz.com*, True
*.2hr.me*, True
*.2hu.us*, True
*.2internet.ga*, True
*.2itsupport.com*, True
*.2kan.io*, True
*.2klik.pw*, True
*.2ku.ru*, True
*.2leech.com*, True
*.2m.lt*, True
*.2mgt.co.kr*, True
*.2minutosderelax.com*, True
*.2mstudio.info*, True
*.2mucha.org*, True
*.2netserv.ro*, True
*.2new4k.com*, True
*.2nhay.com*, True
*.2nsoft.co.kr*, True
*.2o1o.co.uk*, True
*.2of1.org*, True
*.2om.us*, True
*.2p.fm*, True
*.2peu.org*, True
*.2ps.me*, True
*.2qal.tk*, True
*.2sea.org*, True
*.2sh.tw*, True
*.2shotminimum.com*, True
*.2sign.co.uk*, True
*.2sillysausages.com*, True
*.2sni.com.br*, True
*.2so.ch*, True
*.2stacks.net*, True
*.2stepenergy.com*, True
*.2tek.info*, True
*.2to1agri.com*, True
*.2toc.com*, True
*.2track.me*, True
*.2tutu.info*, True
*.2u4.ca*, True
*.2vp.net*, True
*.2waky.com*, True
*.2web.ga*, True
*.2wi.com.au*, True
*.2zy.net*, True
*.3-a.net*, True
*.3-mmc.de*, True
*.3-mmc.es*, True
*.300.com.my*, True
*.300.my*, True
*.302itsolutions.com*, True
*.303brewing.com*, True
*.303brewingco.com*, True
*.303brewingcompany.com*, True
*.303brewingcompany.net*, True
*.30624100.tk*, True
*.30624770.tk*, True
*.308863.com*, True
*.30landport.com*, True
*.30ohm.net*, True
*.3108.us*, True
*.31337.info*, True
*.314.ru*, True
*.3141.co.uk*, True
*.316homemedia.com*, True
*.319go.com*, True
*.31shep.com*, True
*.320w.com*, True
*.321.com.ar*, True
*.3211976.ru*, True
*.321contando.com.ar*, True
*.323net.com*, True
*.32903.org*, True
*.32ws.ga*, True
*.3303.ch*, True
*.333123.net*, True
*.3333-ace.com*, True
*.3333-telkomsel.ml*, True
*.333yxb.com*, True
*.3366vod.com*, True
*.3368668.com*, True
*.337yxb.com*, True
*.3399vod.com*, True
*.33joy.ru*, True
*.33kbps.com.ar*, True
*.349net.com*, True
*.3528shop.com*, True
*.360backupsitesrevealed.com*, True
*.360bmt.com*, True
*.360digit.com*, True
*.360drm.com*, True
*.360feedback.at*, True
*.360itek.com*, True
*.360moto.ir*, True
*.360technologies.ca*, True
*.360toothbrush.com*, True
*.360watch.co.uk*, True
*.361yxb.com*, True
*.365-24-7.de*, True
*.365-888.com*, True
*.3653.co*, True
*.365365cn.com*, True
*.365cloudit.co.uk*, True
*.365designklikmukix.com*, True
*.365designklikmukix.net*, True
*.365digitalklikmukix.com*, True
*.365mediaklikmlondonix.com*, True
*.365mediaklikmukix.co*, True
*.365mediaklikmukix.com*, True
*.365mediaklikmukix.net*, True
*.365mediaklikmukix.org*, True
*.365mediaklikmukixsolutions.com*, True
*.365mediaklikmukixtech.com*, True
*.365mediaklokmukix.com*, True
*.365mediaklokmukix.net*, True
*.365productionsklikmukix.com*, True
*.365tix.com.au*, True
*.369communications.co.za*, True
*.36kb.ru*, True
*.3773777.com*, True
*.3773777.net*, True
*.377378.com*, True
*.383.li*, True
*.383yxb.com*, True
*.38gaming.uk*, True
*.38shop.cn*, True
*.3908825.tw*, True
*.39214.com*, True
*.393.ro*, True
*.395buy.com*, True
*.395mai.com*, True
*.39delo.ru*, True
*.39northdesigns.com*, True
*.3ac.cl*, True
*.3am-eternal.org*, True
*.3ambusiness.com*, True
*.3ambusiness.com.au*, True
*.3ambusinessadvisers.com*, True
*.3ambusinessadvisers.com.au*, True
*.3ambusinessadvisers.net*, True
*.3amlife.com*, True
*.3anetwork.com.br*, True
*.3baysvilla.com*, True
*.3beaches.co.za*, True
*.3bears.co.kr*, True
*.3bs.pt*, True
*.3c4d.net*, True
*.3cb.info*, True
*.3cb.ru*, True
*.3cm.us*, True
*.3cmphotography.com.au*, True
*.3co.ca*, True
*.3comet.com*, True
*.3countriespizza.com*, True
*.3cshare.hk*, True
*.3cx-systems.co.uk*, True
*.3d-game.com*, True
*.3d3.pl*, True
*.3dboards.com*, True
*.3dcanyon.com*, True
*.3dcareer.com*, True
*.3dcity.co.za*, True
*.3dcrew.cf*, True
*.3dfx.se*, True
*.3dgeorge.com*, True
*.3djobfair.com*, True
*.3dl.am*, True
*.3dmovies.hk*, True
*.3dopticzz.tk*, True
*.3dpathogram.com*, True
*.3dprintrz.com*, True
*.3dsaya.com*, True
*.3dschile.cl*, True
*.3dsexworlds.net*, True
*.3dsystems.sg*, True
*.3dticket.ru*, True
*.3dvizija.net*, True
*.3dwise.com*, True
*.3dxtras.com*, True
*.3eagle.com*, True
*.3es.in*, True
*.3fee.com*, True
*.3forcom.biz*, True
*.3forcom.info*, True
*.3forcom.net*, True
*.3forcom.org*, True
*.3forever.com*, True
*.3fors.co*, True
*.3forsflush.com*, True
*.3genergy.gr*, True
*.3gpx.net*, True
*.3hearts.org*, True
*.3hezar.ir*, True
*.3hllcssl.com*, True
*.3hs.com.br*, True
*.3hstudio.ro*, True
*.3iat.ro*, True
*.3ii.net*, True
*.3inkjet.com*, True
*.3jpmedia.com*, True
*.3kingdom.tk*, True
*.3kingdoms-eu.tk*, True
*.3laze.com*, True
*.3menathome.org*, True
*.3mmc.de*, True
*.3monjes.com.ar*, True
*.3muk.com*, True
*.3n.cc*, True
*.3net.me*, True
*.3nix.net*, True
*.3nj3n.cf*, True
*.3oclock.tk*, True
*.3orangkeren.us*, True
*.3pc.com.br*, True
*.3ple-media.ro*, True
*.3porosenka.ru*, True
*.3rd-aberdeen.co.uk*, True
*.3rdeng.com*, True
*.3rdspace.hk*, True
*.3rdx.com*, True
*.3run.one.pl*, True
*.3schat.net*, True
*.3sdgames.com*, True
*.3si3ki.com*, True
*.3sierra.biz*, True
*.3sr.com.br*, True
*.3tech.com.ar*, True
*.3tigres.com.br*, True
*.3tm.net*, True
*.3trust.com*, True
*.3utilities.com*, True
*.3uu.me*, True
*.3vm.cl*, True
*.3vs3.net*, True
*.3wish.co.kr*, True
*.3x3.pl*, True
*.3xit.com*, True
*.3xviet.net*, True
*.3xx.eu*, True
*.3z.cl*, True
*.4-2-0.cf*, True
*.4-cam.ru*, True
*.4-choob.com*, True
*.4-health.org*, True
*.4-med.ru*, True
*.4-news.org*, True
*.4-on-4.com*, True
*.4-sale.co.za*, True
*.4-teti.tk*, True
*.4-waves.com*, True
*.400.com.my*, True
*.400participacoes.com.br*, True
*.401616.net*, True
*.4030tel.com*, True
*.403error.ga*, True
*.404-gaming.ga*, True
*.404-gaming.tk*, True
*.404.mn*, True
*.4040.idv.tw*, True
*.404err.net*, True
*.404notfound.gq*, True
*.404r.eu*, True
*.4090.su*, True
*.40ins.ru*, True
*.40v.fi*, True
*.40vsk.lv*, True
*.4128777.tw*, True
*.417rv.ca*, True
*.417rv.com*, True
*.419037.com*, True
*.420.io*, True
*.420austin.net*, True
*.420blaze.me*, True
*.420retro.tk*, True
*.420tech.eu*, True
*.420tech.pl*, True
*.42614.com*, True
*.428571.com*, True
*.42k.ca*, True
*.42krosario.com.ar*, True
*.42lemons.com*, True
*.42mediaapps.com*, True
*.42o.org*, True
*.42wireless.co.za*, True
*.42x.co*, True
*.433.co.il*, True
*.4399yxb.com*, True
*.4401.us*, True
*.4406666.com*, True
*.441creative.co.uk*, True
*.44e5f64857.pw*, True
*.455c4ed4bcf69b0dfc9c850a283f05ef455c4ed4bcf69b0.cf*, True
*.456arashi.com*, True
*.46reunion.com*, True
*.4743.com*, True
*.4763539.com*, True
*.48349.com*, True
*.486-ocn.com*, True
*.48f8.net*, True
*.48squad.com*, True
*.49695.com*, True
*.498898.com*, True
*.49b.uk*, True
*.4adev.com*, True
*.4adevelopments.com*, True
*.4alga.info*, True
*.4alton.co.uk*, True
*.4always.com*, True
*.4b5b.tk*, True
*.4bebe.ro*, True
*.4bi.ro*, True
*.4calgarycontractors.com*, True
*.4calgaryrealestate.tv*, True
*.4call.me*, True
*.4card.ru*, True
*.4cassells.com*, True
*.4chan.ca*, True
*.4checker.club*, True
*.4comex.cl*, True
*.4credits.info*, True
*.4d1.me*, True
*.4dame.ru*, True
*.4dmnc.com*, True
*.4dq.com*, True
*.4dxm.com*, True
*.4ertenok.ru*, True
*.4ertiki.ru*, True
*.4es.ca*, True
*.4estacoespaisagismo.com*, True
*.4everfyne.com*, True
*.4everking.ml*, True
*.4eversky.com*, True
*.4fingers.ga*, True
*.4flex.net*, True
*.4freesystem.com.br*, True
*.4funsociety.com*, True
*.4g-net.co.uk*, True
*.4gs.ir*, True
*.4haks.net*, True
*.4hedonism.com*, True
*.4hi.cn*, True
*.4him-menswear.ch*, True
*.4ikc.ru*, True
*.4ippi.ru*, True
*.4irc.com*, True
*.4jc.info*, True
*.4jovemindonesia.web.id*, True
*.4k1network.net*, True
*.4k4gow.tk*, True
*.4kdz.com*, True
*.4ko.us*, True
*.4kulls-in-nz.ch*, True
*.4livestreaming.com*, True
*.4logic.pt*, True
*.4lph40m394.ch*, True
*.4lph40m394.com*, True
*.4mcqueens.com*, True
*.4mcservicios.cl*, True
*.4moms.tk*, True
*.4moviescheduling.com*, True
*.4mvtv.com*, True
*.4mydomain.com*, True
*.4n4y4nz.net*, True
*.4net.tk*, True
*.4newcalgarycondos.com*, True
*.4nhalf.info*, True
*.4nonymouse.tk*, True
*.4oc.ru*, True
*.4ofdakine.com*, True
*.4peg.com*, True
*.4pet.ro*, True
*.4play.hk*, True
*.4plusnutrition.bg*, True
*.4pu.com*, True
*.4rafaels.net*, True
*.4rief.com*, True
*.4rw.de*, True
*.4sale.co.za*, True
*.4sale.su*, True
*.4sta.ru*, True
*.4sterk.nl*, True
*.4storykingdom.tk*, True
*.4street4life.ru*, True
*.4swa.ru*, True
*.4sync.cf*, True
*.4sync.ga*, True
*.4sync.gq*, True
*.4sync.ml*, True
*.4sync.tk*, True
*.4td.biz*, True
*.4thegreens.com*, True
*.4tracking.us*, True
*.4twenty.us*, True
*.4udak.cf*, True
*.4udak.ml*, True
*.4ufashion.com.pk*, True
*.4uhhc.com*, True
*.4uhhc.net*, True
*.4uhhc.org*, True
*.4uwi.ru*, True
*.4videoscheduling.com*, True
*.4wardfabrication.com*, True
*.4wardfabrication.com.au*, True
*.4wardfabrications.com*, True
*.4wardfabrications.com.au*, True
*.4waysedupsych.co.za*, True
*.4web.ga*, True
*.4web.gq*, True
*.4wh4ll3nk.tk*, True
*.4xchambers.com*, True
*.4xidea.com*, True
*.4xs.co*, True
*.4xxx.com.ar*, True
*.4you.tw*, True
*.4yourhealth.info*, True
*.5-8.ro*, True
*.5.ai*, True
*.500.com.my*, True
*.50001iso.com.br*, True
*.500xl.se*, True
*.5020.tk*, True
*.502060.com*, True
*.5041440.ru*, True
*.504viviendas.com.ar*, True
*.508508.biz*, True
*.508a.ru*, True
*.5092601.ru*, True
*.50friends.com.mx*, True
*.50friends.mx*, True
*.50rmail.com*, True
*.50v.fi*, True
*.5117my.com*, True
*.512kbps.tk*, True
*.5150.ws*, True
*.5181388.com*, True
*.518oak.com*, True
*.51a.org*, True
*.51j.org*, True
*.51n.org*, True
*.51q.org*, True
*.51renqi.com*, True
*.51solomo.com*, True
*.51usana.org*, True
*.51x.be*, True
*.520.com.my*, True
*.52440018.ir*, True
*.525f.com*, True
*.525ix.com*, True
*.5280insider.com*, True
*.5282288.net*, True
*.529artstower.com*, True
*.52avkm.com*, True
*.52deal.info*, True
*.52degreesnorth.com*, True
*.52domain.com*, True
*.52gm.net*, True
*.52race.com*, True
*.52uu.info*, True
*.52xh.cf*, True
*.534543587348587.tk*, True
*.53815090.com*, True
*.53herbie.tk*, True
*.5411apartments.com*, True
*.5451220.ru*, True
*.54f100.com*, True
*.54np.com*, True
*.54np.net*, True
*.54stars.ir*, True
*.54tian.com*, True
*.555757.com*, True
*.5568888.com*, True
*.559c.com*, True
*.55w.org*, True
*.562686.com*, True
*.566155.com*, True
*.566477.com*, True
*.5714.us*, True
*.575110.com*, True
*.58.gs*, True
*.5800xm.cf*, True
*.588489.com*, True
*.58888888888.com*, True
*.5942t.com*, True
*.5995599.net*, True
*.5aera.cl*, True
*.5anga.info*, True
*.5centben.com*, True
*.5chat.ru*, True
*.5cmu.com*, True
*.5cuerdas.com.ar*, True
*.5dclick.com*, True
*.5dearth.com*, True
*.5dimension.com.ar*, True
*.5element.pl*, True
*.5fakta.info*, True
*.5fn.co.za*, True
*.5haha.net*, True
*.5iai-shop.co.uk*, True
*.5ibc6.com*, True
*.5ibc6.net*, True
*.5ibcmm.com*, True
*.5ibcmm.net*, True
*.5ibuy.tk*, True
*.5inkjet.com*, True
*.5it3.info*, True
*.5kmu.com*, True
*.5kw.eu*, True
*.5lf.de*, True
*.5na5.ru*, True
*.5ng.ru*, True
*.5northmedia.com*, True
*.5of3.com*, True
*.5one.us*, True
*.5p9.ru*, True
*.5paths.org*, True
*.5pathsandpitfalls.com*, True
*.5perhead.com*, True
*.5psolutions.ro*, True
*.5rhythms.se*, True
*.5rose.ch*, True
*.5ryneveld.com*, True
*.5sec.com.br*, True
*.5starit.co.uk*, True
*.5starshost.tk*, True
*.5street.ca*, True
*.5taestacion.com.ar*, True
*.5taichi.com*, True
*.5tgb.tk*, True
*.5ump.com*, True
*.5xberg.com*, True
*.5ya.com.ar*, True
*.6-delta.com*, True
*.60-nn.com*, True
*.600.com.my*, True
*.600.my*, True
*.60000mu.com*, True
*.600912.com*, True
*.601203.tk*, True
*.603603.biz*, True
*.604online.com*, True
*.60rar.org*, True
*.61411111111.com*, True
*.614main.net*, True
*.617617.biz*, True
*.617617.com*, True
*.61enjoy.com*, True
*.623au.com*, True
*.6260.ch*, True
*.64k.co.za*, True
*.650606.ru*, True
*.653003.com*, True
*.653yxb.com*, True
*.6542559.com*, True
*.655985.com*, True
*.657yxb.com*, True
*.65g.us*, True
*.66123456789.com*, True
*.663oakenwald.com*, True
*.66613.ru*, True
*.6661338.ru*, True
*.666858.com*, True
*.667yxb.com*, True
*.668.org*, True
*.668123.com*, True
*.66haoyun.com*, True
*.66haoyun.net*, True
*.671yxb.com*, True
*.678dvd.com*, True
*.679670.ru*, True
*.688.org*, True
*.688502.com*, True
