mitre_id,technique,tactics,groups
T1112,Modify Registry,Defense Evasion,Wizard Spider|Magic Hound|Kimsuky|Dragonfly|APT32|Earth Lusca|Patchwork|TA505|Turla|APT19|FIN8|Gamaredon Group|Gorgon Group|Blue Mockingbird|Silence|LuminousMoth|Ember Bear|APT41|Threat Group-3390|APT38
T1546.011,Application Shimming,Privilege Escalation|Persistence,FIN7
T1590.002,DNS,Reconnaissance,no
T1550,Use Alternate Authentication Material,Defense Evasion|Lateral Movement,no
T1547.004,Winlogon Helper DLL,Persistence|Privilege Escalation,Tropic Trooper|Wizard Spider|Turla
T1596.001,DNS/Passive DNS,Reconnaissance,no
T1218.003,CMSTP,Defense Evasion,Cobalt Group|MuddyWater
T1068,Exploitation for Privilege Escalation,Privilege Escalation,APT28|Scattered Spider|Turla|APT32|Cobalt Group|APT33|ZIRCONIUM|LAPSUS$|FIN6|Tonto Team|BITTER|MoustachedBouncer|FIN8|PLATINUM|Threat Group-3390|Whitefly|APT29
T1059.004,Unix Shell,Execution,APT41|TeamTNT|Rocke
T1590.003,Network Trust Dependencies,Reconnaissance,no
T1011.001,Exfiltration Over Bluetooth,Exfiltration,no
T1204.003,Malicious Image,Execution,TeamTNT
T1021,Remote Services,Lateral Movement,Wizard Spider
T1564,Hide Artifacts,Defense Evasion,no
T1547.009,Shortcut Modification,Persistence|Privilege Escalation,APT39|Leviathan|Lazarus Group|Gorgon Group
T1584.007,Serverless,Resource Development,no
T1102.001,Dead Drop Resolver,Command And Control,APT41|Rocke|BRONZE BUTLER|Patchwork|RTM
T1105,Ingress Tool Transfer,Command And Control,APT29|Magic Hound|Threat Group-3390|APT41|Moses Staff|Fox Kitten|LazyScripter|Leviathan|FIN13|Winnti Group|FIN8|Volatile Cedar|Nomadic Octopus|LuminousMoth|Turla|APT3|APT-C-36|Mustang Panda|Metador|APT38|APT37|TA551|TA2541|MuddyWater|WIRTE|Aquatic Panda|Windshift|SideCopy|TA505|Cobalt Group|Tropic Trooper|Andariel|Chimera|HAFNIUM|Dragonfly|Darkhotel|Ajax Security Team|Rocke|Evilnum|Molerats|IndigoZebra|APT28|menuPass|Whitefly|Wizard Spider|Lazarus Group|Ke3chang|ZIRCONIUM|Rancor|BITTER|TeamTNT|APT33|Confucius|APT39|Ember Bear|OilRig|Elderwood|HEXANE|Sandworm Team|Sidewinder|Indrik Spider|BackdoorDiplomacy|Kimsuky|Tonto Team|Gamaredon Group|Gorgon Group|PLATINUM|APT32|GALLIUM|BRONZE BUTLER|APT18|FIN7|Silence|Patchwork
T1585.002,Email Accounts,Resource Development,Kimsuky|Indrik Spider|Wizard Spider|Magic Hound|Leviathan|APT1|Sandworm Team|HEXANE|EXOTIC LILY|Silent Librarian|Lazarus Group|Mustang Panda
T1559.001,Component Object Model,Execution,MuddyWater|Gamaredon Group
T1036.001,Invalid Code Signature,Defense Evasion,APT37|Windshift
T1070.004,File Deletion,Defense Evasion,Rocke|Tropic Trooper|APT38|FIN5|Sandworm Team|APT39|Magic Hound|Patchwork|Mustang Panda|Chimera|Group5|APT32|menuPass|APT29|Evilnum|FIN8|Aquatic Panda|APT28|APT18|APT3|Silence|Volt Typhoon|Kimsuky|TEMP.Veles|Threat Group-3390|TeamTNT|The White Company|FIN6|Gamaredon Group|Lazarus Group|Wizard Spider|Cobalt Group|APT41|Metador|Dragonfly|BRONZE BUTLER|FIN10|OilRig
T1578.004,Revert Cloud Instance,Defense Evasion,no
T1572,Protocol Tunneling,Command And Control,OilRig|FIN13|Leviathan|Fox Kitten|Chimera|FIN6|Cobalt Group|Magic Hound
T1562.008,Disable or Modify Cloud Logs,Defense Evasion,no
T1546.009,AppCert DLLs,Privilege Escalation|Persistence,no
T1518,Software Discovery,Discovery,Mustang Panda|MuddyWater|Wizard Spider|Sidewinder|Volt Typhoon|SideCopy|HEXANE|Windigo|Inception|Windshift|BRONZE BUTLER|Tropic Trooper
T1598,Phishing for Information,Reconnaissance,ZIRCONIUM|Scattered Spider|APT28
T1053.002,At,Execution|Persistence|Privilege Escalation,Threat Group-3390|BRONZE BUTLER|APT18
T1548.002,Bypass User Account Control,Privilege Escalation|Defense Evasion,Evilnum|Threat Group-3390|APT37|BRONZE BUTLER|APT29|Patchwork|MuddyWater|Earth Lusca|Cobalt Group
T1585.001,Social Media Accounts,Resource Development,EXOTIC LILY|Magic Hound|Fox Kitten|APT32|Lazarus Group|Leviathan|Kimsuky|Cleaver|Sandworm Team|HEXANE|CURIUM
T1212,Exploitation for Credential Access,Credential Access,no
T1218.013,Mavinject,Defense Evasion,no
T1546.003,Windows Management Instrumentation Event Subscription,Privilege Escalation|Persistence,Mustang Panda|APT29|Leviathan|Metador|APT33|Blue Mockingbird|FIN8|Turla
T1552.004,Private Keys,Credential Access,TeamTNT|Rocke
T1574.008,Path Interception by Search Order Hijacking,Persistence|Privilege Escalation|Defense Evasion,no
T1027.007,Dynamic API Resolution,Defense Evasion,Lazarus Group
T1654,Log Enumeration,Discovery,Volt Typhoon
T1016.001,Internet Connection Discovery,Discovery,Magic Hound|HAFNIUM|HEXANE|APT29|Turla|Gamaredon Group|TA2541|FIN13|FIN8
T1567.002,Exfiltration to Cloud Storage,Exfiltration,Kimsuky|HEXANE|Earth Lusca|Leviathan|ZIRCONIUM|HAFNIUM|Turla|LuminousMoth|Chimera|Threat Group-3390|Confucius|Wizard Spider|POLONIUM|FIN7
T1218.002,Control Panel,Defense Evasion,Ember Bear
T1583.007,Serverless,Resource Development,no
T1608,Stage Capabilities,Resource Development,Mustang Panda
T1484.001,Group Policy Modification,Defense Evasion|Privilege Escalation,Indrik Spider
T1125,Video Capture,Collection,Silence|FIN7
T1615,Group Policy Discovery,Discovery,Turla
T1200,Hardware Additions,Initial Access,DarkVishnya
T1564.009,Resource Forking,Defense Evasion,no
T1589.002,Email Addresses,Reconnaissance,Magic Hound|Sandworm Team|TA551|Lazarus Group|HAFNIUM|Silent Librarian|Kimsuky|MuddyWater|HEXANE|APT32|EXOTIC LILY|LAPSUS$
T1608.003,Install Digital Certificate,Resource Development,no
T1578.001,Create Snapshot,Defense Evasion,no
T1614.001,System Language Discovery,Discovery,Ke3chang
T1136,Create Account,Persistence,Indrik Spider
T1573.002,Asymmetric Cryptography,Command And Control,TA2541|Cobalt Group|FIN6|Tropic Trooper|OilRig|FIN8
T1059.003,Windows Command Shell,Execution,Gorgon Group|menuPass|APT18|Mustang Panda|TA551|Rancor|TA505|Wizard Spider|APT1|Aquatic Panda|HAFNIUM|Fox Kitten|FIN13|APT37|TeamTNT|Blue Mockingbird|GALLIUM|Gamaredon Group|FIN8|FIN6|Patchwork|Threat Group-3390|Suckfly|Chimera|Dark Caracal|LazyScripter|Metador|APT32|Sowbug|Lazarus Group|Tropic Trooper|Machete|Cobalt Group|ZIRCONIUM|Nomadic Octopus|Higaisa|Turla|BRONZE BUTLER|FIN7|FIN10|Dragonfly|APT28|Magic Hound|Volt Typhoon|Kimsuky|Darkhotel|Ember Bear|APT3|Indrik Spider|APT38|admin@338|Silence|Threat Group-1314|MuddyWater|Ke3chang|APT41|OilRig
T1552.007,Container API,Credential Access,no
T1205,Traffic Signaling,Defense Evasion|Persistence|Command And Control,no
T1552.006,Group Policy Preferences,Credential Access,APT33|Wizard Spider
T1104,Multi-Stage Channels,Command And Control,APT41|Lazarus Group|MuddyWater|APT3
T1562.001,Disable or Modify Tools,Defense Evasion,Indrik Spider|Rocke|Gorgon Group|TeamTNT|Wizard Spider|Ember Bear|Aquatic Panda|Turla|Magic Hound|BRONZE BUTLER|TA505|Kimsuky|Putter Panda|TA2541|FIN6|MuddyWater|Gamaredon Group|Lazarus Group|APT29
T1056,Input Capture,Collection|Credential Access,APT39
T1585.003,Cloud Accounts,Resource Development,no
T1219,Remote Access Software,Command And Control,DarkVishnya|Cobalt Group|FIN7|RTM|Mustang Panda|Carbanak|Kimsuky|MuddyWater|GOLD SOUTHFIELD|Thrip|Sandworm Team|Evilnum|TeamTNT
T1567.001,Exfiltration to Code Repository,Exfiltration,no
T1566.002,Spearphishing Link,Initial Access,Mofang|Lazarus Group|TA505|Sidewinder|Evilnum|ZIRCONIUM|EXOTIC LILY|APT28|Confucius|Magic Hound|APT3|Mustang Panda|APT1|OilRig|Cobalt Group|MuddyWater|Turla|LazyScripter|Elderwood|Wizard Spider|Kimsuky|FIN7|Ember Bear|Transparent Tribe|Sandworm Team|Molerats|FIN8|APT29|APT39|Machete|Leviathan|APT33|LuminousMoth|FIN4|Windshift|APT32|Earth Lusca|BlackTech|Patchwork|TA2541
T1036.002,Right-to-Left Override,Defense Evasion,Scarlet Mimic|Ke3chang|BRONZE BUTLER|BlackTech|Ferocious Kitten
T1598.004,Spearphishing Voice,Reconnaissance,LAPSUS$
T1046,Network Service Discovery,Discovery,FIN13|Suckfly|Leafminer|menuPass|FIN6|APT32|Chimera|Naikon|OilRig|Cobalt Group|BlackTech|Threat Group-3390|Magic Hound|DarkVishnya|Rocke|TeamTNT|Fox Kitten|APT41|Lazarus Group|Tropic Trooper|APT39|BackdoorDiplomacy
T1564.011,Ignore Process Interrupts,Defense Evasion,no
T1098.006,Additional Container Cluster Roles,Persistence|Privilege Escalation,no
T1115,Clipboard Data,Collection,APT38|APT39
T1554,Compromise Client Software Binary,Persistence,no
T1542.005,TFTP Boot,Defense Evasion|Persistence,no
T1546.002,Screensaver,Privilege Escalation|Persistence,no
T1565.001,Stored Data Manipulation,Impact,APT38
T1592.002,Software,Reconnaissance,Andariel|Sandworm Team|Magic Hound
T1580,Cloud Infrastructure Discovery,Discovery,no
T1211,Exploitation for Defense Evasion,Defense Evasion,APT28
T1072,Software Deployment Tools,Execution|Lateral Movement,APT32|Sandworm Team|Silence|Threat Group-1314
T1080,Taint Shared Content,Lateral Movement,BRONZE BUTLER|Darkhotel|Gamaredon Group
T1560.003,Archive via Custom Method,Collection,CopyKittens|Mustang Panda|FIN6|Kimsuky|Lazarus Group
T1070.005,Network Share Connection Removal,Defense Evasion,Threat Group-3390
T1600.002,Disable Crypto Hardware,Defense Evasion,no
T1542.003,Bootkit,Persistence|Defense Evasion,Lazarus Group|APT41|APT28
T1555.001,Keychain,Credential Access,no
T1052.001,Exfiltration over USB,Exfiltration,Tropic Trooper|Mustang Panda
T1564.008,Email Hiding Rules,Defense Evasion,FIN4
T1056.004,Credential API Hooking,Collection|Credential Access,PLATINUM
T1001.003,Protocol Impersonation,Command And Control,Higaisa|Lazarus Group
T1218.007,Msiexec,Defense Evasion,Machete|ZIRCONIUM|Rancor|Molerats|TA505
T1036.007,Double File Extension,Defense Evasion,Mustang Panda
T1140,Deobfuscate/Decode Files or Information,Defense Evasion,Darkhotel|Sandworm Team|APT39|BRONZE BUTLER|Gorgon Group|APT28|WIRTE|OilRig|FIN13|Kimsuky|menuPass|APT19|Leviathan|TeamTNT|Rocke|Turla|Threat Group-3390|Molerats|TA505|Ke3chang|Higaisa|Lazarus Group|Earth Lusca|ZIRCONIUM|Tropic Trooper|Gamaredon Group|MuddyWater
T1025,Data from Removable Media,Collection,APT28|Gamaredon Group|Turla
T1136.003,Cloud Account,Persistence,APT29|LAPSUS$
T1547.007,Re-opened Applications,Persistence|Privilege Escalation,no
T1566.004,Spearphishing Voice,Initial Access,no
T1070.007,Clear Network Connection History and Configurations,Defense Evasion,Volt Typhoon
T1552.003,Bash History,Credential Access,no
T1602,Data from Configuration Repository,Collection,no
T1213.002,Sharepoint,Collection,LAPSUS$|Chimera|Ke3chang|APT28
T1001.001,Junk Data,Command And Control,APT28
T1594,Search Victim-Owned Websites,Reconnaissance,Sandworm Team|Kimsuky|EXOTIC LILY|Silent Librarian
T1195.002,Compromise Software Supply Chain,Initial Access,Dragonfly|FIN7|Sandworm Team|Cobalt Group|GOLD SOUTHFIELD|Threat Group-3390|APT41
T1053,Scheduled Task/Job,Execution|Persistence|Privilege Escalation,Earth Lusca
T1588.005,Exploits,Resource Development,Kimsuky
T1069.001,Local Groups,Discovery,HEXANE|admin@338|Chimera|Turla|Tonto Team|Volt Typhoon|OilRig
T1612,Build Image on Host,Defense Evasion,no
T1556.005,Reversible Encryption,Credential Access|Defense Evasion|Persistence,no
T1591.003,Identify Business Tempo,Reconnaissance,no
T1586.001,Social Media Accounts,Resource Development,Leviathan
T1098.003,Additional Cloud Roles,Persistence|Privilege Escalation,LAPSUS$
T1505.002,Transport Agent,Persistence,no
T1059.002,AppleScript,Execution,no
T1078.001,Default Accounts,Defense Evasion|Persistence|Privilege Escalation|Initial Access,Magic Hound|FIN13
T1562.004,Disable or Modify System Firewall,Defense Evasion,Rocke|Kimsuky|Magic Hound|TeamTNT|Carbanak|Dragonfly|Lazarus Group|APT38|Moses Staff
T1563.002,RDP Hijacking,Lateral Movement,Axiom
T1558.003,Kerberoasting,Credential Access,FIN7|Wizard Spider
T1059.001,PowerShell,Execution,Gorgon Group|APT33|TA505|Volt Typhoon|Chimera|LazyScripter|BRONZE BUTLER|APT19|Lazarus Group|Threat Group-3390|Confucius|TeamTNT|HEXANE|OilRig|Silence|FIN6|GALLIUM|Cobalt Group|Leviathan|HAFNIUM|APT41|Patchwork|APT29|Aquatic Panda|FIN13|Poseidon Group|Sandworm Team|GOLD SOUTHFIELD|APT32|CopyKittens|Tonto Team|APT39|MoustachedBouncer|MuddyWater|FIN8|Sidewinder|menuPass|Kimsuky|Dragonfly|Indrik Spider|Magic Hound|WIRTE|Thrip|TA459|DarkHydrus|Ember Bear|DarkVishnya|Mustang Panda|Fox Kitten|Deep Panda|Gamaredon Group|TA2541|Earth Lusca|Gallmaker|APT3|Nomadic Octopus|Molerats|Blue Mockingbird|Wizard Spider|Turla|APT28|FIN10|Stealth Falcon|Inception|FIN7|APT38|TEMP.Veles
T1195.001,Compromise Software Dependencies and Development Tools,Initial Access,no
T1497.001,System Checks,Defense Evasion|Discovery,Evilnum|OilRig|Volt Typhoon|Darkhotel
T1005,Data from Local System,Collection,FIN13|Threat Group-3390|LAPSUS$|Sandworm Team|Dragonfly|LuminousMoth|menuPass|APT3|Axiom|APT38|APT39|BRONZE BUTLER|Gamaredon Group|Wizard Spider|Windigo|GALLIUM|APT41|CURIUM|Kimsuky|Volt Typhoon|FIN6|APT1|Ke3chang|Patchwork|Stealth Falcon|Inception|APT28|FIN7|Dark Caracal|APT37|APT29|Fox Kitten|HAFNIUM|Lazarus Group|Turla|Magic Hound|Andariel
T1552.002,Credentials in Registry,Credential Access,APT32
T1218.005,Mshta,Defense Evasion,APT32|Confucius|APT29|Gamaredon Group|Inception|Lazarus Group|TA2541|TA551|Sidewinder|Mustang Panda|FIN7|Kimsuky|MuddyWater|Earth Lusca|LazyScripter|SideCopy
T1547.014,Active Setup,Persistence|Privilege Escalation,no
T1486,Data Encrypted for Impact,Impact,Indrik Spider|TA505|APT41|Magic Hound|Sandworm Team|APT38|FIN7|FIN8
T1003.008,/etc/passwd and /etc/shadow,Credential Access,no
T1078,Valid Accounts,Defense Evasion|Persistence|Privilege Escalation|Initial Access,Silent Librarian|FIN6|APT39|Silence|Fox Kitten|GALLIUM|APT41|APT18|FIN10|POLONIUM|menuPass|Axiom|TEMP.Veles|FIN8|Wizard Spider|Leviathan|Sandworm Team|Dragonfly|OilRig|PittyTiger|Chimera|FIN4|LAPSUS$|Suckfly|Carbanak|Lazarus Group|Ke3chang|Threat Group-3390|APT28|APT29|FIN7|FIN5|APT33
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,Credential Access|Collection,Wizard Spider|Lazarus Group
T1606.002,SAML Tokens,Credential Access,no
T1498.001,Direct Network Flood,Impact,no
T1210,Exploitation of Remote Services,Lateral Movement,Threat Group-3390|APT28|menuPass|Earth Lusca|FIN7|Tonto Team|MuddyWater|Dragonfly|Wizard Spider|Fox Kitten
T1074.002,Remote Data Staging,Collection,MoustachedBouncer|menuPass|Leviathan|FIN8|APT28|Chimera|Threat Group-3390|FIN6
T1202,Indirect Command Execution,Defense Evasion,Lazarus Group
T1495,Firmware Corruption,Impact,no
T1555.004,Windows Credential Manager,Credential Access,Turla|Stealth Falcon|Wizard Spider|OilRig
T1561.002,Disk Structure Wipe,Impact,Lazarus Group|APT37|Sandworm Team|APT38
T1102.003,One-Way Communication,Command And Control,Leviathan
T1574.009,Path Interception by Unquoted Path,Persistence|Privilege Escalation|Defense Evasion,no
T1190,Exploit Public-Facing Application,Initial Access,GOLD SOUTHFIELD|Volatile Cedar|BackdoorDiplomacy|Dragonfly|APT41|Rocke|Axiom|Magic Hound|MuddyWater|Kimsuky|Volt Typhoon|FIN13|GALLIUM|APT28|menuPass|HAFNIUM|Ke3chang|Moses Staff|Blue Mockingbird|Earth Lusca|Threat Group-3390|Fox Kitten|APT39|APT29|BlackTech
T1648,Serverless Execution,Execution,no
T1595.002,Vulnerability Scanning,Reconnaissance,Magic Hound|Aquatic Panda|Volatile Cedar|TeamTNT|Earth Lusca|Sandworm Team|Dragonfly|APT28|APT29
T1095,Non-Application Layer Protocol,Command And Control,Metador|PLATINUM|BackdoorDiplomacy|APT3|BITTER|FIN6|HAFNIUM
T1087.001,Local Account,Discovery,Moses Staff|APT3|APT1|OilRig|Fox Kitten|APT32|Chimera|Threat Group-3390|Turla|Poseidon Group|Ke3chang|admin@338
T1218.008,Odbcconf,Defense Evasion,Cobalt Group
T1547.005,Security Support Provider,Persistence|Privilege Escalation,no
T1598.003,Spearphishing Link,Reconnaissance,Sandworm Team|Mustang Panda|Sidewinder|Dragonfly|Patchwork|APT32|ZIRCONIUM|Silent Librarian|Kimsuky|Magic Hound|APT28
T1040,Network Sniffing,Credential Access|Discovery,DarkVishnya|Kimsuky|Sandworm Team|APT28|APT33
T1087.003,Email Account,Discovery,Magic Hound|TA505|Sandworm Team
T1071,Application Layer Protocol,Command And Control,Rocke|Magic Hound|TeamTNT
T1129,Shared Modules,Execution,no
T1204.002,Malicious File,Execution,FIN6|Darkhotel|TA551|Indrik Spider|Transparent Tribe|Naikon|Inception|Mofang|Higaisa|Wizard Spider|SideCopy|Leviathan|APT29|Tonto Team|APT38|PLATINUM|Tropic Trooper|Cobalt Group|APT33|BRONZE BUTLER|APT30|Sandworm Team|Windshift|Ember Bear|Ferocious Kitten|APT32|APT37|OilRig|FIN4|APT-C-36|Threat Group-3390|CURIUM|Whitefly|BlackTech|Earth Lusca|Andariel|APT39|Aoqin Dragon|The White Company|WIRTE|RTM|HEXANE|Gallmaker|Kimsuky|Gorgon Group|APT28|PROMETHIUM|Mustang Panda|Elderwood|Gamaredon Group|admin@338|LazyScripter|Sidewinder|Patchwork|Silence|BITTER|TA2541|DarkHydrus|Machete|Dark Caracal|Rancor|FIN7|FIN8|MuddyWater|IndigoZebra|TA459|menuPass|Nomadic Octopus|APT19|Magic Hound|Molerats|Confucius|Dragonfly|TA505|APT12|EXOTIC LILY|Lazarus Group|Ajax Security Team
T1070.009,Clear Persistence,Defense Evasion,no
T1021.004,SSH,Lateral Movement,BlackTech|Fox Kitten|TEMP.Veles|OilRig|Rocke|Lazarus Group|FIN7|GCMAN|FIN13|Leviathan|menuPass|TeamTNT|APT39
T1583.002,DNS Server,Resource Development,Axiom|HEXANE
T1090.003,Multi-hop Proxy,Command And Control,Inception|Leviathan|APT29|FIN4|APT28
T1134.004,Parent PID Spoofing,Defense Evasion|Privilege Escalation,no
T1221,Template Injection,Defense Evasion,Gamaredon Group|Dragonfly|Tropic Trooper|APT28|DarkHydrus|Inception|Confucius
T1584.005,Botnet,Resource Development,Axiom|Volt Typhoon|Sandworm Team
T1557,Adversary-in-the-Middle,Credential Access|Collection,Kimsuky
T1602.001,SNMP (MIB Dump),Collection,no
T1553.006,Code Signing Policy Modification,Defense Evasion,Turla|APT39
T1055.015,ListPlanting,Defense Evasion|Privilege Escalation,no
T1003.007,Proc Filesystem,Credential Access,no
T1584.001,Domains,Resource Development,APT1|Kimsuky|SideCopy|Magic Hound|Transparent Tribe
T1070.001,Clear Windows Event Logs,Defense Evasion,FIN8|APT28|Indrik Spider|Dragonfly|FIN5|Chimera|APT41|APT38|APT32
T1205.002,Socket Filters,Defense Evasion|Persistence|Command And Control,no
T1555.003,Credentials from Web Browsers,Credential Access,OilRig|APT37|Inception|TA505|Patchwork|FIN6|APT33|LAPSUS$|Molerats|APT3|ZIRCONIUM|MuddyWater|HEXANE|Sandworm Team|Ajax Security Team|Leafminer|Stealth Falcon|Kimsuky
T1132.002,Non-Standard Encoding,Command And Control,no
T1070.008,Clear Mailbox Data,Defense Evasion,no
T1583,Acquire Infrastructure,Resource Development,no
