typosquatted_package_name,comment,package_official_url
*beautifolsoup*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beautifoulsoup*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beautifuklsoup*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beautifuksoup*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beautifullsoop*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beautifullsooup*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beautifulsoop*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beautifulsoul*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beautifulsoupe*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beautifulsoupo*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beautifuosoup*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beautilfulsoup*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beautyfulsoup*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beautysoup*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beuatiflsoup*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beutifullsoup*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*beutifulsoop*,"Potential typo squatting, variations of beautifulsoup","https://pypi.org/project/BeautifulSoup/"
*bibp-utils*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*biip-utils*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bip-u8ls*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bip-uils*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bip-uitls*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bip-util*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bip-utilds*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bip-utile*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bip-utiles*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bip-utilos*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bip-utilss*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bip-utilz*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bip-utisl*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bip-utjls*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bip-utlils*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bip-uttils*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bip-uutils*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bipp-utils*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bips-utils*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*biup-utils*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bop-utils*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bpi-utils*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bup-utils*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*bupi-utils*,"Potential typo squatting, variations of bip-utils","https://pypi.org/project/bip-utils/"
*capmoneercloudclient*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonsstercloudcliennt*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonsstercloudclient*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonsterccloudclient*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonsterclouclient*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercloudclenet*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercloudclenit*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercloudclent*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercloudcliant*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercloudclieent*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercloudclieet*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercloudclien*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercloudcliend*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercloudcliendt*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercloudclienet*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercloudcliennt*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercloudclientt*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercloudcliet*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercloudcliient*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercloudclinent*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercloudclinet*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercloudclouidclient*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercloudcluodclient*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonsterclouddclient*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonsterclouddlient*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonsterclouidclient*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonsterclouudclient*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercludclient*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercoudclient*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonstercouldclient*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmonsterrcloudclient*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmosterclouclient*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmostercloudclieent*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmostercloudclienet*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmostercloudclient*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*capmostercloudclinet*,"Potential typo squatting, variations of capmonstercloudclient","https://pypi.org/project/capmonstercloudclient/"
*cilorama*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*clolorama*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*cloroma*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*colaroma*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*colomara*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*colorahma*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*coloramae*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*coloramah*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*coloramal*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*coloramaz*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*colorame*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*coloramia*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*coloramka*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*coloramna*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*coloramo*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*coloramoo*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*coloramqa*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*coloramqs*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*coloramu*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*coloramwa*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*coloramws*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*coloramxa*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*coloramxs*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*coloramza*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*coloramzs*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*colorayma*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*colorhrama*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*colorm*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*colormma*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*coloroama*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*colorram*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*colorramma*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*colouorama*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*colprama*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*corlorama*,"Potential typo squatting, variations of colorama","https://pypi.org/project/colorama/"
*cstmotkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*cuatomtkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*cusgtomtkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*cusromtkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*custm*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*custmtkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*custmtokinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*custogtkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*custohtkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*custojmtkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*custojtkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*custoktkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customekinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtikinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtiknter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtjinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkfnter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkibter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkihter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkimter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkinber*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkinet*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkinetr*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkinger*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkingter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkinrer*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkintar*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkinte*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkinted*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkinteer*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkintert*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkintet*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkintre*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkintrer*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkintrr*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkintwr*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkinyer*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkitenr*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkiter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkitner*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkitnerr*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkitnre*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkiyter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkjnter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkknter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkniter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkniterr*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtknster*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtknter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkwnter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*customtkznter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*custontkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*custoqtkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*custotinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*custotkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*custotkminter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*custotminter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*custoumtkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*custpmtkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*custrmtkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*custumtkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*custvomtkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*cutomtkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*cuwtomtkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*cuxtomtkinter*,"Potential typo squatting, variations of customtkinter","https://pypi.org/project/customtkinter/"
*maptplotlib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplftlib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matpliotlib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplkotlib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matpllotb*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matpllotib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplolplib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matploltlab*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matploltlib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplootib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matploptlib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplorlib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplotblib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplotib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplotkib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplotklib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplotlbib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplotlig*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplotllib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplotlob*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplotlpib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplotlr*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplotltib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplotlub*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplotlyib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplotoib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplotpib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplottbib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplottib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplottlab*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplotvib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplotvlib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplptlib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplrtib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplrtlib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matpltotlib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplttlib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*matplutlib*,"Potential typo squatting, variations of matplotlib","https://pypi.org/project/matplotlib/ "
*oillow*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*p-cord*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*p8llow*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*p9llow*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*pi-cord*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*pilkow*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*pill9w*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*pilliow*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*pilliw*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*pillkw*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*pillo2*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*pilloa*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*pilloo*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*pilloq*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*pillox*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*pilpow*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*piolow*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*piplow*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*pirlow*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*pjllow*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*plaawright*,"Potential typo squatting, variations of playwright","https://pypi.org/project/playwright/ "
*plauwright*,"Potential typo squatting, variations of playwright","https://pypi.org/project/playwright/"
*plawwright*,"Potential typo squatting, variations of playwright","https://pypi.org/project/playwright/"
*plawyright*,"Potential typo squatting, variations of playwright","https://pypi.org/project/playwright/"
*playrwight*,"Potential typo squatting, variations of playwright","https://pypi.org/project/playwright/"
*playwirght*,"Potential typo squatting, variations of playwright","https://pypi.org/project/playwright/"
*playwrght*,"Potential typo squatting, variations of playwright","https://pypi.org/project/playwright/"
*playwrgiht*,"Potential typo squatting, variations of playwright","https://pypi.org/project/playwright/"
*playwrgith*,"Potential typo squatting, variations of playwright","https://pypi.org/project/playwright/"
*playwrigght*,"Potential typo squatting, variations of playwright","https://pypi.org/project/playwright/"
*playwrigh*,"Potential typo squatting, variations of playwright","https://pypi.org/project/playwright/"
*playwrightt*,"Potential typo squatting, variations of playwright","https://pypi.org/project/playwright/"
*playwrigth*,"Potential typo squatting, variations of playwright","https://pypi.org/project/playwright/"
*playwrihgt*,"Potential typo squatting, variations of playwright","https://pypi.org/project/playwright/"
*playwritgh*,"Potential typo squatting, variations of playwright","https://pypi.org/project/playwright/"
*plyawright*,"Potential typo squatting, variations of playwright","https://pypi.org/project/playwright/"
*plywright*,"Potential typo squatting, variations of playwright","https://pypi.org/project/playwright/"
*pollow*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*pqtorch*,"Potential typo squatting, variations of pytorch","https://pypi.org/project/pytorch/"
*pttorch*,"Potential typo squatting, variations of pytorch","https://pypi.org/project/pytorch/"
*pullow*,"Potential typo squatting, variations of pillow","https://pypi.org/project/pillow/"
*py-c0ard*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
*py-c0crd*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
*py-c0dd*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
*py-c0red*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
*py-c9rd*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
*py-cdord*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
*py-cird*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
*py-ckord*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
*py-ckrd*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
*py-co4d*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
*py-coad*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
*py-cobrd*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
*py-cocd*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
*py-cod*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
*py-codrd*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
*py-coed*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
*py-coerd*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
*py-cofd*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
*py-cofrd*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
*py-coird*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
*py-cojrd*,"Potential typo squatting, variations of py-cord","https://pypi.org/project/py-cord/"
