name,id,author,description,fields
AWS CloudTrail CreateVirtualMFADevice,13e6e952-0dad-4190-865c-fb5911725f7a,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail CreateVirtualMFADevice,_time; action; app; awsRegion; aws_account_id; change_type; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters.path; requestParameters.virtualMFADeviceName; responseElements.virtualMFADevice.serialNumber; sessionCredentialFromConsole; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; status; tag; tag::eventtype; timeendpos; timestartpos; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.sessionContext.attributes.creationDate; userIdentity.sessionContext.attributes.mfaAuthenticated; userIdentity.type; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail DeactivateMFADevice,7397a10b-1150-4de9-8062-a96454ae53b2,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail DeactivateMFADevice,_time; action; app; awsRegion; aws_account_id; change_type; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters.serialNumber; requestParameters.userName; responseElements; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; status; tag; tag::eventtype; timeendpos; timestartpos; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.sessionContext.attributes.creationDate; userIdentity.sessionContext.attributes.mfaAuthenticated; userIdentity.type; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail DeleteAccountPasswordPolicy,b0730ac8-0992-4de8-b000-2c7d0fc7a67f,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail DeleteAccountPasswordPolicy,_time; action; app; awsRegion; aws_account_id; change_type; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; desc; dest; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters; responseElements; sessionCredentialFromConsole; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; status; tag; tag::eventtype; timeendpos; timestartpos; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.sessionContext.attributes.creationDate; userIdentity.sessionContext.attributes.mfaAuthenticated; userIdentity.type; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail DeleteDetector,5d8bd475-c8bc-4447-b27f-efa508728b90,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail DeleteDetector,_time; app; awsRegion; aws_account_id; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters.detectorId; responseElements.__type; responseElements.message; result_id; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; tag; tag::eventtype; timeendpos; timestartpos; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.type; userIdentity.userName; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail DeleteGroup,c95308a4-a943-42ca-b112-f90a05c21bd3,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail DeleteGroup,_time; action; app; awsRegion; aws_account_id; change_type; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; errorMessage; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; reason; recipientAccountId; region; requestID; requestParameters.groupName; responseElements; result; result_id; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; status; tag; tag::eventtype; timeendpos; timestartpos; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.type; userIdentity.userName; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail DeleteIPSet,ebdeeb63-77a0-4808-a6fe-549956731377,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail DeleteIPSet,_time; app; awsRegion; aws_account_id; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters.detectorId; requestParameters.ipSetId; responseElements.__type; responseElements.message; result_id; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; tag; tag::eventtype; timeendpos; timestartpos; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.type; userIdentity.userName; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail DeleteLogGroup,60cf6a69-fa43-4a6c-8808-e9fb46bf387f,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail DeleteLogGroup,_time; apiVersion; app; awsRegion; aws_account_id; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters.logGroupName; responseElements; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; tag; tag::eventtype; timeendpos; timestartpos; tlsDetails.cipherSuite; tlsDetails.clientProvidedHostHeader; tlsDetails.tlsVersion; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.type; userIdentity.userName; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail DeleteLogStream,6f8bb808-89f8-465e-a34d-229df2f46402,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail DeleteLogStream,_time; apiVersion; app; awsRegion; aws_account_id; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters.logGroupName; requestParameters.logStreamName; responseElements; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; tag; tag::eventtype; timeendpos; timestartpos; tlsDetails.cipherSuite; tlsDetails.clientProvidedHostHeader; tlsDetails.tlsVersion; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.type; userIdentity.userName; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail DeleteNetworkAclEntry,a0dd0f10-cc03-425d-bd5a-e1e0d954b856,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail DeleteNetworkAclEntry,_time; action; app; awsRegion; aws_account_id; change_type; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; direction; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters.egress; requestParameters.networkAclId; requestParameters.ruleNumber; responseElements._return; responseElements.requestId; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; status; tag; tag::eventtype; timeendpos; timestartpos; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.sessionContext.attributes.creationDate; userIdentity.sessionContext.attributes.mfaAuthenticated; userIdentity.sessionContext.sessionIssuer.accountId; userIdentity.sessionContext.sessionIssuer.arn; userIdentity.sessionContext.sessionIssuer.principalId; userIdentity.sessionContext.sessionIssuer.type; userIdentity.sessionContext.sessionIssuer.userName; userIdentity.type; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail DeletePolicy,d190d23a-2c59-4a0e-9c55-a53ebef28ee5,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail DeletePolicy,_time; action; app; awsRegion; aws_account_id; change_type; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; errorMessage; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; reason; recipientAccountId; region; requestID; requestParameters.policyArn; responseElements; result; result_id; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; status; tag; tag::eventtype; timeendpos; timestartpos; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.type; userIdentity.userName; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail DeleteRule,b5760623-f3ca-492d-a372-d5c2b3567dfc,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail DeleteRule,_time; apiVersion; app; awsRegion; aws_account_id; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters.changeToken; requestParameters.ruleId; responseElements.changeToken; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; tag; tag::eventtype; timeendpos; timestartpos; tlsDetails.cipherSuite; tlsDetails.clientProvidedHostHeader; tlsDetails.tlsVersion; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.type; userIdentity.userName; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail DeleteTrail,a5af09ff-07b6-4df6-92a0-2146bfe402c8,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail DeleteTrail,_time; app; awsRegion; aws_account_id; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters.name; responseElements; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; tag; tag::eventtype; timeendpos; timestartpos; tlsDetails.cipherSuite; tlsDetails.clientProvidedHostHeader; tlsDetails.tlsVersion; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.type; userIdentity.userName; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail DeleteVirtualMFADevice,84a08d6b-3d59-4260-8cab-84278ada262f,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail DeleteVirtualMFADevice,_time; action; app; awsRegion; aws_account_id; change_type; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters.serialNumber; responseElements; sessionCredentialFromConsole; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; status; tag; tag::eventtype; timeendpos; timestartpos; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.sessionContext.attributes.creationDate; userIdentity.sessionContext.attributes.mfaAuthenticated; userIdentity.type; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail DeleteWebACL,90da5f08-7961-4c29-8de8-01364982aadf,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail DeleteWebACL,_time; apiVersion; app; awsRegion; aws_account_id; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; eventtype; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters.changeToken; requestParameters.webACLId; responseElements.changeToken; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; tag; tag::eventtype; timeendpos; timestartpos; tlsDetails.cipherSuite; tlsDetails.clientProvidedHostHeader; tlsDetails.tlsVersion; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.type; userIdentity.userName; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
AWS CloudTrail DescribeEventAggregates,7efe4afe-62ae-4f96-81d1-76598ea37fc2,"Patrick Bareiss, Splunk",Event source object for AWS CloudTrail DescribeEventAggregates,_time; app; awsRegion; aws_account_id; command; date_hour; date_mday; date_minute; date_month; date_second; date_wday; date_year; date_zone; dest; dvc; errorCode; eventCategory; eventID; eventName; eventSource; eventTime; eventType; eventVersion; host; index; linecount; managementEvent; msg; object_category; product; punct; readOnly; recipientAccountId; region; requestID; requestParameters.aggregateField; requestParameters.filter.eventStatusCodes{}; requestParameters.filter.startTimes{}.from; responseElements; sessionCredentialFromConsole; signature; source; sourceIPAddress; sourcetype; splunk_server; src; src_ip; start_time; timeendpos; timestartpos; user; userAgent; userIdentity.accessKeyId; userIdentity.accountId; userIdentity.arn; userIdentity.principalId; userIdentity.sessionContext.attributes.creationDate; userIdentity.sessionContext.attributes.mfaAuthenticated; userIdentity.type; userName; user_access_key; user_agent; user_arn; user_group_id; user_id; user_name; user_type; vendor; vendor_account; vendor_product; vendor_region
