suspicious_pipe_name,tool,description,type
*\RemoteMaint,impacketremoteshell,impacketremoteshell default pipe name,Lateral Movement
*\forRealLegit,InlineExecute-Assembly,InlineExecute-Assembly pipe name,Exploitation
*\toteslegit,InlineExecute-Assembly,InlineExecute-Assembly pipe name,Exploitation
*\ExploitPipe,InstallerFileTakeOver,Used by InstallerFileTakeOver exploit POC CVE-2021-41379 patch bypass,Privilege Escalation
*\Something,Invoke-SMBRemoting,Used by Invoke-SMBRemoting,Lateral Movement
*\asio-A0812896-741A-484D-AF23-BE51BF620E22-*,Kismet,Kismet is an open source sniffer - WIDS - wardriver and packet capture tool for Wi-Fi,Exploitation
*\imposecost,Koh Token Stealer,Koh Token Stealer pipe name,Credential Access
*\imposingcost,Koh Token Stealer,Koh Token Stealer pipe name,Credential Access
*\6e7645c4-32c5-4fe3-aabf-e94c2f4370e7,LiquidSnake,LiquidSnake is a tool that allows operators to perform fileless lateral movement using WMI Event Subscriptions and GadgetToJScript,Lateral Movement
*\lsarelayx,lsarelayx,lsarelayx usage,Credential Access
*\MalDevEDR,MalDevEDR,EDR/AV Simulation for Malware Development,Exploitation
*\megacmdpipe_*,MEGAcmd,Command Line Interactive and Scriptable Application to access MEGA,Data Exfiltration
*\acsipc_server,metasploit,Agnitum Outpost Internet Security Local Privilege Escalation,Privilege Escalation
*\IPEFSYSPCPIPE,metasploit,iPass Mobile Client Service Privilege Escalation,Privilege Escalation
*\msf-pipe,metasploit,Metasploit bind named pipe,Exploitation
*\orcljsexorcl,metasploit,Oracle Job Scheduler Named Pipe Command Execution,Exploitation
*\OVSystem*,metasploit,HP OpenView Network Node Manager execvp_nc Buffer Overflow,Exploitation
*\SUPipeServer,metasploit,Lenovo System Update Privilege Escalation,Privilege Escalation
*\WindscribeService*,metasploit,The Windscribe VPN client application for Windows makes use of a Windows service WindscribeService.exe which exposes a named pipe \.\pipe\WindscribeService allowing execution of programs with elevated privileges,Privilege Escalation
*mimikatz*,mimikatz,kekeo stealing credentials,Credential Access
*\MyNamePipe,mortar,Used by the offensive tool mortar,Defense Evasion
*\moj_ML_ntsvcs,mortar,Used by the offensive tool mortar,Defense Evasion
*\NamedPipeMaster,NamedPipeMaster,A tool used to analyze and monitor named pipes,Exploitation
*\HighPriv,NamedPipeSystem,"From ""Some usefull Scripts and Executables for Pentest & Forensics""",Privilege Escalation
*\mojo.7304.10032.2584273091328543665,Nemesis,Nemesis  file named pipe,Exploitation
*\FssagentRpc,NetExec,NetExec pipe name,Lateral Movement
*\netdfs,NetExec,NetExec pipe name,Lateral Movement
*\xai,NP_impersonate,Priv esc for SeImpersonatePrivilege,Privilege Escalation
*\paexec*,PAEXEC,Remote execution like PsExec,Lateral Movement
*\PAExecErr*,PAEXEC,Remote execution like PsExec,Lateral Movement
*\PAExecIn*,PAEXEC,Remote execution like PsExec,Lateral Movement
*\PAExecOut*,PAEXEC,Remote execution like PsExec,Lateral Movement
*\petit\pipe\srvsvc,PetitPotato,Used by PetitPotato for privilege escalation,Privilege Escalation
*\PipeCmd_communicaton,Pipecmd,Pipecmd  hacking tool default named pipe,Exploitation
*\mantvydas-first-pipe,POC,Privilege escalation poc,Privilege Escalation
*pwned*,Potato,Potato to get SYSTEM via SeImpersonate privileges,Privilege Escalation
*\sqsvc,Powersploit,Powersploit pipe name,Exploitation
*\PrivFuPipe*,PrivFu,Privilege escalation PoCs,Privilege Escalation
*-stderr,PSEXEC,Remote execution like PsExec,Lateral Movement
*-stdin,PSEXEC,Remote execution like PsExec,Lateral Movement
*-stdout,PSEXEC,Remote execution like PsExec,Lateral Movement
*\csexec*,PSEXEC,Remote execution like PsExec,Lateral Movement
*\PSEXEC*,PSEXEC,Remote execution like PsExec,Lateral Movement
*\PSEXESVC*,PSEXEC,Remote execution like PsExec,Lateral Movement
*\blindspot-*,Pyramid,Pyramid default pipe,Defense Evasion
*\remcom*,Remcom,Remote execution like PsExec,Lateral Movement
*\RemCom_Commuincation,Remcom,Remote execution like PsExec,Lateral Movement
*\RoguePotato,RoguePotato,Used by RoguePotato for privilege escaltion,Privilege Escalation
*\atctl,RPC-Backdoor,RPC-Backdoor default pipe name,Persistence
*\pipey,RpcSsImpersonator,faxhell / printjacker / RpcSsImpersonator - Elevation to SYSTEM,Privilege Escalation
*\RustPotato*,RustPotato,A Rust implementation of GodPotato,Privilege Escalation
*\Teste,RustRedOps,RustRedOps Named Pipe Client / Server,Exploitation
*\barnofoo\pipe\spoolss,shad0w,Used by Printspoofer exploit,Privilege Escalation
*\mimi,SharpBlock,A method of bypassing EDR's active projection DLL's by preventing entry point exection,Defense Evasion
*\ShitSecure,SharpNamedPipePTH,SharpNamedPipePTH - Pass the Hash to a named pipe for token Impersonation,Lateral Movement
*\TestSVC,SharPyShell,Get-System.ps1 default named pipe,Privilege Escalation
*\ElevationPipe,ShimMe,Default named pipe from ShimMe presented at Defcon32 - Manipulating Shim and Office for Code Injection,Privilege Escalation
*\SigmaPotato,Sigmapotato,Used by Sigmapotato for privilege escaltion,Privilege Escalation
*\syelog,syelog,EDR bypassing,Defense Evasion
*\tailscale-test,Tailscale,Used by Tailscale RMM,Defense Evasion
*\tailscale*,Tailscale,Used by Tailscale RMM,Defense Evasion
*\tenketsu,tenketsu,Metasploit clone ,Exploitation
*\tenketsuProxy,tenketsu,Metasploit clone ,Exploitation
*\TIOR_Err,thg-framework,Pipe redirector from metasploit bypassuac TIOR,Exploitation
*\TIOR_In,thg-framework,Pipe redirector from metasploit bypassuac TIOR,Exploitation
*\TIOR_Out,thg-framework,Pipe redirector from metasploit bypassuac TIOR,Exploitation
*\tokenvator,Tokenvator,A tool to elevate privilege with Windows Tokens,Privilege Escalation
*\vncdump-*,vncdump,Vnc password sniffer,Credential Access
*\WCEServicePipe,Windows Credential Editor,Windows Credential Editor (WCE) default named pipe,Credential Access
*\WinPwnagePipe,WinPwnage,Winpwnage elevatemethod3.py pipe name,Privilege Escalation
